City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
71,Iqaluit,CA,2019-11-10 05:47:58,63.75,-68.52,6.8,84,75,19.46,broken clouds,0.0,0.0
72,Zaranj,AF,2019-11-10 05:50:51,30.95,61.86,57.2,30,75,26.4,broken clouds,0.0,0.0
73,San Nicolas,PH,2019-11-10 05:50:52,13.93,120.95,86.0,66,75,8.05,broken clouds,0.0,0.0
74,Takaka,NZ,2019-11-10 05:50:52,-40.86,172.81,63.0,93,100,1.01,light rain,0.81,0.0
75,Yellowknife,CA,2019-11-10 05:50:53,62.45,-114.38,5.0,77,90,10.29,light snow,0.0,0.0
76,Codrington,AU,2019-11-10 05:50:53,-28.95,153.24,77.0,25,90,14.99,overcast clouds,0.0,0.0
77,Beaupre,CA,2019-11-10 05:50:54,47.04,-70.9,35.01,75,90,14.99,overcast clouds,0.0,0.0
78,Petrovsk,RU,2019-11-10 05:50:54,52.31,45.39,32.9,76,8,9.89,clear sky,0.0,0.0
79,East London,ZA,2019-11-10 05:49:52,-33.02,27.91,66.2,82,20,9.17,few clouds,0.0,0.0
80,Cap Malheureux,MU,2019-11-10 05:50:55,-19.98,57.61,80.6,65,75,6.93,broken clouds,0.0,0.0
81,Tweed,CA,2019-11-10 05:50:56,44.48,-77.31,41.0,60,90,10.29,overcast clouds,0.0,0.0
82,Lagoa,PT,2019-11-10 05:50:11,37.14,-8.45,57.2,76,100,11.41,overcast clouds,0.0,0.0
83,Pisco,PE,2019-11-10 05:50:57,-13.71,-76.2,63.0,82,28,6.93,scattered clouds,0.0,0.0
84,Catalina,PE,2019-11-10 05:50:58,-13.57,-76.13,63.0,82,28,6.93,scattered clouds,0.0,0.0
85,Half Moon Bay,US,2019-11-10 05:50:58,37.46,-122.43,54.0,93,90,3.36,overcast clouds,0.0,0.0
86,Hualmay,PE,2019-11-10 05:50:58,-11.1,-77.61,60.84,87,73,2.84,broken clouds,0.0,0.0
87,Te Anau,NZ,2019-11-10 05:50:59,-45.41,167.72,45.88,80,69,9.4,light rain,0.75,0.0
88,Bambari,CF,2019-11-10 05:50:59,5.77,20.68,75.51,70,42,0.56,scattered clouds,0.0,0.0
89,Vondrozo,MG,2019-11-10 05:51:00,-22.82,47.32,81.97,65,75,3.11,broken clouds,0.0,0.0
90,Rikitea,PF,2019-11-10 05:51:00,-23.12,-134.97,73.85,72,97,13.06,overcast clouds,0.0,0.0
91,Lavrentiya,RU,2019-11-10 05:50:24,65.58,-170.99,34.41,96,100,5.61,light rain,0.25,0.0
92,Millbrook,US,2019-11-10 05:51:01,32.48,-86.36,43.0,100,1,0.87,clear sky,0.0,0.0
93,Labuhan,ID,2019-11-10 05:51:01,-2.54,115.51,93.81,42,98,1.16,overcast clouds,0.0,0.0
94,Invermere,CA,2019-11-10 05:51:02,50.51,-116.03,33.01,89,100,1.83,snow,0.0,3.38
95,Castro,CL,2019-11-10 05:51:02,-42.48,-73.76,48.2,100,87,3.36,overcast clouds,0.0,0.0
96,Comodoro Rivadavia,AR,2019-11-10 05:46:08,-45.87,-67.48,44.6,70,70,3.36,broken clouds,0.0,0.0
97,Hilo,US,2019-11-10 05:49:46,19.71,-155.08,78.8,78,20,3.36,few clouds,0.0,0.0
98,Temiscaming,CA,2019-11-10 05:51:04,46.72,-79.1,34.0,98,90,9.17,heavy snow,0.0,0.0
99,Takoradi,GH,2019-11-10 05:51:04,4.89,-1.75,78.76,83,41,6.04,light rain,1.06,0.0
100,Energeticheskiy,KZ,2019-11-10 05:51:05,43.43,77.02,48.2,61,75,4.47,smoke,0.0,0.0
101,Lasa,CY,2019-11-10 05:51:05,34.92,32.53,69.8,37,0,10.29,clear sky,0.0,0.0
102,Ahipara,NZ,2019-11-10 05:51:05,-35.17,173.16,62.01,100,87,21.59,light rain,0.13,0.0
103,Upernavik,GL,2019-11-10 05:51:06,72.79,-56.15,16.0,67,75,2.8,broken clouds,0.0,0.0
104,Nikolskoye,RU,2019-11-10 05:51:06,59.7,30.79,43.0,100,90,8.95,overcast clouds,0.0,0.0
105,Coquimbo,CL,2019-11-10 05:51:07,-29.95,-71.34,51.8,93,0,2.91,clear sky,0.0,0.0
106,Hithadhoo,MV,2019-11-10 05:51:07,-0.6,73.08,82.24,74,10,11.01,light rain,0.44,0.0
107,General Pico,AR,2019-11-10 05:50:44,-35.66,-63.75,60.06,96,6,10.29,clear sky,0.0,0.0
108,Tilichiki,RU,2019-11-10 05:51:08,60.47,166.1,30.4,96,100,11.77,snow,0.0,4.56
109,Namibe,AO,2019-11-10 05:51:08,-15.19,12.15,77.07,77,26,4.05,scattered clouds,0.0,0.0
110,Mazatlan,MX,2019-11-10 05:51:09,23.22,-106.42,82.99,83,40,9.55,scattered clouds,0.0,0.0
111,Tessalit,ML,2019-11-10 05:51:09,20.2,1.01,74.8,24,83,5.91,broken clouds,0.0,0.0
112,Hermanus,ZA,2019-11-10 05:51:10,-34.42,19.24,66.99,79,78,15.01,broken clouds,0.0,0.0
113,Bluff,AU,2019-11-10 05:51:10,-23.58,149.07,89.69,9,15,2.98,few clouds,0.0,0.0
114,Polikhronon,GR,2019-11-10 05:51:11,40.02,23.53,63.0,100,30,3.0,light rain,0.13,0.0
115,Ilulissat,GL,2019-11-10 05:51:11,69.22,-51.1,37.4,32,80,19.46,broken clouds,0.0,0.0
116,Yerofey Pavlovich,RU,2019-11-10 05:51:11,53.97,121.97,14.45,92,100,5.77,light snow,0.0,1.19
117,Cortez,US,2019-11-10 05:51:12,37.35,-108.58,35.01,42,1,4.47,clear sky,0.0,0.0
118,Tuktoyaktuk,CA,2019-11-10 05:51:12,69.44,-133.03,6.8,65,5,13.87,clear sky,0.0,0.0
119,Haines Junction,CA,2019-11-10 05:51:13,60.75,-137.51,-3.86,96,0,5.44,clear sky,0.0,0.0
120,Aadorf,CH,2019-11-10 05:51:13,47.49,8.9,36.0,100,90,0.02,fog,0.0,0.0
121,Havre,US,2019-11-10 05:51:14,48.55,-109.68,21.99,92,90,16.11,light rain,0.0,0.51
122,Cherskiy,RU,2019-11-10 05:51:14,68.75,161.3,-1.99,93,7,1.59,clear sky,0.0,0.0
123,Santa Isabel Do Rio Negro,BR,2019-11-10 05:51:14,-0.41,-65.02,75.49,84,72,1.9,broken clouds,0.0,0.0
124,Lazaro Cardenas,MX,2019-11-10 05:51:15,28.39,-105.62,57.99,86,100,1.99,light rain,0.38,0.0
125,Gold Coast,AU,2019-11-10 05:51:15,-28.0,153.41,91.99,36,90,10.29,overcast clouds,0.0,0.0
126,Longyearbyen,NO,2019-11-10 05:51:16,78.22,15.63,23.0,73,75,3.36,broken clouds,0.0,0.0
127,Bulawayo,ZW,2019-11-10 05:51:16,-20.16,28.59,73.49,64,94,6.49,overcast clouds,0.0,0.0
128,Sitka,US,2019-11-10 05:51:17,37.17,-99.65,46.99,48,0,8.75,clear sky,0.0,0.0
129,Evensk,RU,2019-11-10 05:51:17,61.92,159.24,21.83,93,100,11.41,light snow,0.0,0.63
130,Saint-Philippe,CA,2019-11-10 05:50:09,45.36,-73.48,37.0,43,90,12.75,overcast clouds,0.0,0.0
131,Alacranes,CU,2019-11-10 05:51:18,22.77,-81.57,75.2,88,75,8.05,broken clouds,0.0,0.0
132,Trojes,AL,2019-11-10 05:51:18,41.76,19.96,55.4,87,75,6.93,broken clouds,0.0,0.0
