City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Sitka,US,2019-11-06 03:47:24,37.17,-99.65,41.0,69,0,10.0
106,Tuatapere,NZ,2019-11-06 03:47:24,-46.13,167.69,61.43,66,52,2.77
107,Okha,RU,2019-11-06 03:47:25,53.59,142.95,33.51,95,100,18.5
108,Jamestown,AU,2019-11-06 03:47:25,-33.21,138.6,75.06,27,0,24.05
109,Tiznit,MA,2019-11-06 03:44:20,29.7,-9.73,52.3,90,68,2.95
110,Nyaunglebin,MM,2019-11-06 03:47:26,17.95,96.73,83.82,69,100,2.66
111,Vila Franca Do Campo,PT,2019-11-06 03:47:27,37.72,-25.43,60.8,72,75,1.12
112,Mahebourg,MU,2019-11-06 03:47:28,-20.41,57.7,77.0,83,40,3.36
113,Qaanaaq,GL,2019-11-06 03:47:29,77.48,-69.36,3.61,57,0,9.15
114,Byron Bay,AU,2019-11-06 03:47:29,-28.65,153.62,82.4,49,0,12.75
115,Lavrentiya,RU,2019-11-06 03:47:30,65.58,-170.99,25.66,81,8,12.08
116,Iralaya,HN,2019-11-06 03:47:31,15.0,-83.23,83.84,75,3,17.87
117,Orsha,BY,2019-11-06 03:47:31,54.51,30.43,46.76,94,100,7.94
118,Maputo,MZ,2019-11-06 03:44:33,-25.97,32.57,72.0,83,20,6.93
119,Quthing,LS,2019-11-06 03:47:32,-30.4,27.7,52.66,84,43,3.36
120,Aleksandrov Gay,RU,2019-11-06 03:47:32,50.14,48.57,45.28,62,100,16.46
121,Urengoy,RU,2019-11-06 03:47:33,65.96,78.37,5.49,94,14,9.48
122,Airai,TL,2019-11-06 03:47:33,-8.93,125.41,84.47,40,13,8.97
123,Carnarvon,ZA,2019-11-06 03:47:34,-30.97,22.13,64.65,40,33,5.41
124,Kiama,AU,2019-11-06 03:47:34,-34.67,150.86,82.4,17,0,17.22
125,Hofn,IS,2019-11-06 03:47:35,64.25,-15.21,33.22,91,100,15.23
126,Naze,NG,2019-11-06 03:47:36,5.43,7.07,73.4,94,75,2.62
127,Golkoy,TR,2019-11-06 03:47:36,40.69,37.62,51.8,87,0,2.24
128,Namatanai,PG,2019-11-06 03:47:36,-3.66,152.44,84.34,69,100,9.28
129,Leh,IN,2019-11-06 03:47:37,34.16,77.58,23.31,42,81,3.71
130,Tromso,NO,2019-11-06 03:47:37,69.65,18.96,28.99,100,94,5.82
131,Ahipara,NZ,2019-11-06 03:47:38,-35.17,173.16,75.99,65,100,13.09
132,Saint-Augustin,CA,2019-11-06 03:42:59,45.63,-73.98,42.8,89,90,9.17
133,Kodiak,US,2019-11-06 03:47:39,39.95,-94.76,45.0,72,1,9.17
134,Sungairaya,ID,2019-11-06 03:47:39,0.7,108.9,89.01,60,95,5.88
135,Port-Cartier,CA,2019-11-06 03:47:39,50.03,-66.88,42.8,93,90,9.17
136,Kruisfontein,ZA,2019-11-06 03:47:40,-34.0,24.73,57.18,53,63,2.82
137,Puerto Escondido,MX,2019-11-06 03:47:40,15.86,-97.07,80.6,74,40,3.36
138,Octeville,FR,2019-11-06 03:47:41,49.63,-1.64,54.0,87,61,5.82
139,Alice Springs,AU,2019-11-06 03:45:56,-23.7,133.88,87.8,6,15,12.75
140,Nanortalik,GL,2019-11-06 03:47:42,60.14,-45.24,35.29,88,27,20.92
141,Manohar Thana,IN,2019-11-06 03:47:42,24.24,76.8,74.07,56,1,6.29
142,Sinnamary,GF,2019-11-06 03:47:43,5.38,-52.96,82.13,80,0,14.85
143,San Ramon De La Nueva Oran,AR,2019-11-06 03:47:43,-23.13,-64.33,68.07,73,100,2.53
144,Geraldton,CA,2019-11-06 03:47:44,49.72,-86.95,15.8,78,90,6.93
145,Kysyl-Syr,RU,2019-11-06 03:47:45,63.9,122.77,-8.32,90,17,6.96
146,Vanimo,PG,2019-11-06 03:47:45,-2.67,141.3,82.22,74,51,5.61
147,Road Town,VG,2019-11-06 03:47:45,18.42,-64.62,81.0,83,20,6.93
148,Rancho Palos Verdes,US,2019-11-06 03:47:46,33.75,-118.37,68.0,77,1,4.7
149,Pisco,PE,2019-11-06 03:47:46,-13.71,-76.2,64.0,82,40,11.41
150,Gimli,CA,2019-11-06 03:47:47,50.63,-96.99,18.0,88,100,3.0
151,Cordoba,AR,2019-11-06 03:43:40,-27.78,-67.24,66.06,68,56,2.44
152,Salamiyah,SY,2019-11-06 03:47:48,35.01,37.05,61.25,55,0,3.74
153,Borisovka,RU,2019-11-06 03:47:49,50.61,36.01,51.8,93,90,8.95
154,Maceio,BR,2019-11-06 03:47:49,-9.67,-35.74,71.6,94,40,3.36
155,Stende,LV,2019-11-06 03:47:50,57.14,22.53,39.2,93,90,10.29
156,Saskylakh,RU,2019-11-06 03:47:51,71.97,114.09,-10.61,96,23,5.48
157,Bergen,NO,2019-11-06 03:47:52,60.39,5.33,41.0,74,75,6.93
158,Provideniya,RU,2019-11-06 03:43:23,64.42,-173.23,24.8,73,2,6.71
159,Neryungri,RU,2019-11-06 03:42:59,56.66,124.71,-4.83,91,100,14.03
160,Guerrero Negro,MX,2019-11-06 03:47:53,27.97,-114.04,66.61,76,88,11.81
161,Kaeo,NZ,2019-11-06 03:43:51,-35.1,173.78,75.99,65,100,8.23
162,Bethel,US,2019-11-06 03:47:54,60.79,-161.76,30.2,100,90,11.41
163,Rameswaram,IN,2019-11-06 03:47:54,9.28,79.3,81.73,73,70,5.68
164,Kahului,US,2019-11-06 03:47:55,20.89,-156.47,84.2,62,40,4.7
165,Trybukhivtsi,UA,2019-11-06 03:47:55,49.04,25.46,57.99,76,75,13.96
166,Ola,RU,2019-11-06 03:47:56,59.58,151.3,33.1,65,100,30.22
167,Toamasina,MG,2019-11-06 03:47:56,-18.17,49.38,73.4,94,75,4.7
168,Ust-Barguzin,RU,2019-11-06 03:47:57,53.41,109.03,25.39,63,100,0.96
169,Kargasok,RU,2019-11-06 03:47:57,59.06,80.87,28.63,93,100,12.8
170,Cabo San Lucas,MX,2019-11-06 03:43:45,22.89,-109.91,81.0,73,5,9.17
171,Sobolevo,RU,2019-11-06 03:47:58,54.43,31.9,47.16,94,100,8.7
172,Tshikapa,CD,2019-11-06 03:47:58,-6.42,20.79,69.4,96,100,6.31
173,Longyearbyen,NO,2019-11-06 03:47:59,78.22,15.63,8.6,71,75,2.24
174,Yeppoon,AU,2019-11-06 03:47:59,-23.13,150.74,86.0,10,21,6.93
175,Tongren,CN,2019-11-06 03:48:00,27.72,109.18,57.38,77,85,4.94
176,Ugoofaaru,MV,2019-11-06 03:48:00,5.67,73.0,81.28,77,100,12.48
177,Mecca,SA,2019-11-06 03:48:00,21.43,39.83,75.0,52,21,2.39
178,Sorong,ID,2019-11-06 03:48:01,-0.86,131.25,81.16,80,91,5.73
179,Iqaluit,CA,2019-11-06 03:48:01,63.75,-68.52,19.4,85,75,5.82
180,Ellensburg,US,2019-11-06 03:48:02,47.0,-120.55,44.6,69,1,6.93
181,Minyar,RU,2019-11-06 03:48:02,55.07,57.55,32.65,82,100,11.63
182,Storforshei,NO,2019-11-06 03:48:03,66.4,14.52,18.0,86,100,4.65
183,Tarakan,ID,2019-11-06 03:48:03,3.3,117.63,84.2,79,75,5.82
184,Perth,AU,2019-11-06 03:48:04,-31.95,115.86,75.0,37,69,6.93
185,Nushki,PK,2019-11-06 03:48:04,29.55,66.02,53.4,40,0,4.97
186,Itambacuri,BR,2019-11-06 03:48:04,-18.04,-41.68,71.92,76,92,3.4
187,Kasaoka,JP,2019-11-06 03:48:05,34.5,133.52,66.0,39,20,2.24
188,Garowe,SO,2019-11-06 03:48:05,8.41,48.48,73.74,85,100,4.52
189,Seoul,KR,2019-11-06 03:43:10,37.57,126.98,59.0,58,1,3.36
190,Veracruz,EC,2019-11-06 03:45:29,-3.97,-79.57,62.91,95,93,1.74
191,Buala,SB,2019-11-06 03:48:07,-8.15,159.59,84.61,68,99,5.88
192,Smirnykh,RU,2019-11-06 03:48:07,49.74,142.83,40.8,59,91,10.25
193,Faanui,PF,2019-11-06 03:48:08,-16.48,-151.75,81.57,71,10,6.49
194,Priladozhskiy,RU,2019-11-06 03:48:08,59.85,31.48,34.0,55,100,11.18
195,Lagoa,PT,2019-11-06 03:43:50,37.14,-8.45,55.99,87,0,6.93
196,El Carmen,AR,2019-11-06 03:48:09,-24.39,-65.26,68.0,82,90,4.7
197,Bakchar,RU,2019-11-06 03:48:10,57.02,82.07,30.09,76,100,14.79
198,Torbay,CA,2019-11-06 03:43:55,47.66,-52.73,43.0,86,90,5.82
199,Pangnirtung,CA,2019-11-06 03:48:11,66.15,-65.72,19.17,91,100,1.34
200,Marawi,PH,2019-11-06 03:48:11,8.0,124.29,84.99,66,49,5.01
201,Brae,GB,2019-11-06 03:44:25,60.4,-1.35,37.4,74,99,9.17
202,Vardo,US,2019-11-06 03:48:13,39.62,-77.74,52.0,61,40,16.11
203,Kaitangata,NZ,2019-11-06 03:48:13,-46.28,169.85,55.99,74,96,14.0
204,Kharp,RU,2019-11-06 03:48:13,66.82,65.8,8.83,93,20,6.91
205,Pacific Grove,US,2019-11-06 03:48:14,36.62,-121.92,60.01,82,90,7.11
206,Umea,SE,2019-11-06 03:48:15,63.83,20.26,24.8,79,90,9.17
207,Sai Buri,TH,2019-11-06 03:48:16,6.7,101.62,87.8,66,20,3.36
208,Adrar,DZ,2019-11-06 03:48:16,27.87,-0.29,66.2,25,0,6.93
209,Carauari,BR,2019-11-06 03:48:16,-4.88,-66.9,76.39,88,79,1.19
210,Hasaki,JP,2019-11-06 03:48:17,35.73,140.83,72.0,39,20,5.82
211,Teya,MX,2019-11-06 03:48:17,21.05,-89.07,82.0,88,5,6.93
212,Cristalina,BR,2019-11-06 03:48:18,-16.77,-47.61,73.49,75,67,5.5
213,Atar,MR,2019-11-06 03:48:18,20.52,-13.05,70.21,38,100,10.38
214,Goderich,CA,2019-11-06 03:48:18,43.74,-81.71,37.99,61,75,14.43
215,Awjilah,LY,2019-11-06 03:48:19,29.14,21.3,65.95,41,0,4.54
216,Beringovskiy,RU,2019-11-06 03:43:29,63.05,179.32,30.9,90,100,6.64
217,Karaman,TR,2019-11-06 03:48:20,37.18,33.22,45.91,76,0,0.69
218,Robertsganj,IN,2019-11-06 03:48:20,24.69,83.07,73.81,51,0,2.15
219,Remontnoye,RU,2019-11-06 03:48:21,46.56,43.66,46.4,100,87,8.95
220,Dunedin,NZ,2019-11-06 03:47:24,-45.87,170.5,55.0,73,99,13.0
221,Hobyo,SO,2019-11-06 03:48:22,5.35,48.53,78.21,82,87,4.68
222,Burnie,AU,2019-11-06 03:48:22,-41.05,145.91,60.01,68,100,21.99
223,Padang,ID,2019-11-06 03:44:24,-0.92,100.36,79.36,60,68,4.09
224,Mazyr,BY,2019-11-06 03:48:23,52.05,29.27,54.09,66,100,10.63
225,Kholodnyy,RU,2019-11-06 03:48:23,62.72,147.95,14.07,93,100,10.76
226,Guajara,BR,2019-11-06 03:48:24,-0.88,-48.16,77.0,94,0,5.82
227,Luderitz,NA,2019-11-06 03:48:24,-26.65,15.16,60.8,93,0,13.87
228,Sola,TZ,2019-11-06 03:48:25,-3.17,33.8,68.09,64,60,6.8
229,Salisbury,GB,2019-11-06 03:48:25,51.07,-1.8,46.99,93,11,4.7
230,Panama City,US,2019-11-06 03:46:33,30.16,-85.65,69.8,83,1,8.05
231,Diffa,NE,2019-11-06 03:48:26,13.32,12.61,79.27,22,0,8.5
232,Vilyuysk,RU,2019-11-06 03:48:26,63.75,121.63,-6.49,89,71,7.81
233,Bonavista,CA,2019-11-06 03:48:27,48.65,-53.11,39.99,82,68,1.01
234,Georgetown,GY,2019-11-06 03:47:09,6.8,-58.16,77.0,94,20,4.7
235,Ponta Do Sol,BR,2019-11-06 03:48:28,-20.63,-46.0,69.89,85,92,0.63
236,Prince Rupert,CA,2019-11-06 03:48:29,54.32,-130.32,48.2,93,90,5.82
237,Tabira,BR,2019-11-06 03:48:29,-7.58,-37.54,65.95,78,0,11.48
238,Nicoya,CR,2019-11-06 03:48:30,10.15,-85.45,80.6,65,37,11.41
239,Saint-Leu,RE,2019-11-06 03:48:30,-21.15,55.28,78.8,47,49,6.93
