City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
308,Rumuruti,KE,63.7,broken clouds,0.26,36.54,Jojas Hotel
309,Shepsi,RU,65.46,broken clouds,44.04,39.15,Otel' Chayka
312,Puerto Madryn,AR,48.31,broken clouds,-42.77,-65.04,Hotel Tolosa
315,Blind River,CA,37.4,light snow,46.19,-82.96,Auberge Eldo Inn
318,Guangyuan,CN,66.99,clear sky,32.43,105.86,Guangyuan Poetry Hotel
325,Coos Bay,US,53.01,overcast clouds,43.37,-124.22,Best Western Holiday Hotel
327,Xining,CN,43.68,clear sky,36.62,101.77,Super Leisure Hotel
328,Tabas,IR,57.2,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
329,Shadegan,IR,69.8,clear sky,30.65,48.67,مسافر خانه ابو ولید
334,Marsaxlokk,MT,62.01,few clouds,35.84,14.54,Water's Edge
337,Goderich,CA,41.0,broken clouds,43.74,-81.71,Harmony Inn
338,Warrnambool,AU,57.99,overcast clouds,-38.38,142.48,Lady Bay Resort
342,Kharan,PK,65.08,scattered clouds,28.58,65.42,Ghani Hasrat House
345,Soe,EE,50.0,light rain,57.91,26.05,
353,Rio Gallegos,AR,41.0,scattered clouds,-51.62,-69.22,Hotel Santa Cruz
354,Villarrica,CL,55.99,overcast clouds,-39.28,-72.23,Hotel El Ciervo
360,Grenfell,AU,68.67,broken clouds,-33.9,148.16,Grenfell Royal Hotel
362,Petropavlovsk-Kamchatskiy,RU,37.4,scattered clouds,53.05,158.65,"ООО ""Гостиничный комплекс ""Петропавловск"""
363,Cleveland,US,37.99,clear sky,41.51,-81.69,DoubleTree by Hilton Hotel Cleveland Downtown - Lakeside
365,Aller,GB,43.0,light rain,51.06,-2.86,Rosewood House
368,Hami,CN,48.67,clear sky,42.84,93.51,Post And Telecommunication Hotel
370,Huacho,PE,60.84,broken clouds,-11.11,-77.61,Hotel Restaurant Turístico Casablanca
371,Bermeo,ES,45.0,thunderstorm with light rain,43.42,-2.72,Eco-Hotel Mundaka
381,Khani,GE,64.4,clear sky,41.96,42.96,
384,Cobourg,CA,41.0,overcast clouds,43.96,-78.17,Comfort Inn
397,Klaksvik,FO,33.8,overcast clouds,62.23,-6.59,Airbnb rooms
400,Neufahrn,AT,34.0,fog,47.92,13.22,Seehotel Winkler GmbH
403,Najran,SA,69.8,clear sky,17.54,44.22,فندق حياة نجران
404,Leua,AO,68.0,broken clouds,-11.65,20.45,
405,Saint-Augustin,CA,36.0,overcast clouds,45.63,-73.98,Chez Felicia
407,Alamosa,US,37.4,clear sky,37.47,-105.87,Best Western Alamosa Inn
410,Saint-Pierre,FR,41.0,overcast clouds,48.95,4.24,Auberge des Moissons
411,Dharchula,IN,54.79,clear sky,29.85,80.53,Mahara Hotel
413,Mount Gambier,AU,59.0,overcast clouds,-37.83,140.78,Best Western Southgate Motel
415,Tolga,DZ,48.2,few clouds,34.73,5.38,hasseine mohamed
419,Port Elizabeth,US,35.6,few clouds,39.31,-74.98,HAMMER RUN
420,Rome,IT,50.0,scattered clouds,41.89,12.48,Hotel Cosmopolita Roma
421,Namie,JP,60.8,few clouds,37.52,140.86,熊ノ森山
427,Lindsay,CA,39.2,overcast clouds,44.36,-78.74,Kent Inn
430,Forio,IT,55.0,few clouds,40.73,13.86,Hotel Terme Providence
440,Junction City,US,55.99,clear sky,39.03,-96.83,Comfort Inn Express Junction City
445,Inverness,GB,42.8,overcast clouds,57.48,-4.23,Glen Mhor Hotel & Apartments
447,Totton,GB,45.0,light rain,50.92,-1.49,Holiday Inn Express Southampton - West
448,Katsuura,JP,66.0,broken clouds,33.93,134.5,喜楽の湯
450,Tet,IL,68.0,broken clouds,31.25,34.77,Leonardo Negev Beersheba
451,Marsa Matruh,EG,62.6,overcast clouds,31.35,27.25,Beau Site
453,Smithers,CA,28.4,light snow,54.78,-127.17,Prestige Hudson Bay Lodge
455,Ekibastuz,KZ,20.88,broken clouds,51.72,75.32,Respect Hotel
456,Neka,IR,55.4,clear sky,36.65,53.3,برق خودرو کولر مجید
458,Svetlaya,RU,39.6,clear sky,46.54,138.33,
460,Letka,BA,48.2,broken clouds,43.74,17.27,Motel Papić
463,Nishihara,JP,70.0,few clouds,35.74,139.53,Citytel Musashisakai
465,Sar-E Pul,AF,45.63,clear sky,36.22,65.93,چرمگرخانه
468,Yumen,CN,52.41,clear sky,40.29,97.04,玉门宾馆
472,Sechura,PE,63.7,clear sky,-5.56,-80.82,Hospedaje Costa Bella
477,Bereda,ES,55.0,scattered clouds,43.27,-7.54,Pazo de Verdes
478,Zhezkazgan,KZ,30.2,broken clouds,47.8,67.71,Kvartiry Posutochno.
482,Huarmey,PE,61.7,overcast clouds,-10.07,-78.15,Hotel Miramar
484,La Maddalena,IT,53.6,few clouds,39.15,9.02,Hotel Tanca Irde
485,Chamalieres,FR,42.8,broken clouds,45.78,3.06,Best Western Plus Hôtel Littéraire Alexandre Vialatte
486,Korsakov,RU,35.6,few clouds,46.63,142.78,Parikmakherskaya Al'fa
487,Gillette,US,41.0,clear sky,44.29,-105.5,National 9 Inn - Gillette WY
492,Karacakoy,TR,61.0,few clouds,41.4,28.38,
494,Kuryk,KZ,57.7,few clouds,43.18,51.68,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
496,Male,UA,48.43,broken clouds,50.74,33.7,
497,West Bay,CA,51.01,overcast clouds,49.34,-123.21,Homestay-Vancouver.com
498,Kadoma,JP,70.0,broken clouds,34.73,135.6,Hotel Moriguchi Agora
499,Kushima,JP,68.0,scattered clouds,31.5,131.29,ゲストハウスたけだ
500,Liancheng,CN,58.89,overcast clouds,24.05,105.06,Kexiang Hotel
506,Port Lincoln,AU,63.84,clear sky,-34.72,135.86,Port Lincoln Hotel
508,Margate,AU,62.01,broken clouds,-43.03,147.26,Villa Howden
510,Calama,CL,48.2,scattered clouds,-22.46,-68.93,Park Hotel Calama
511,Policka,CZ,37.0,mist,49.71,16.27,Lidmiluv Mlýn
513,Haradok,BY,50.0,light intensity drizzle,55.46,29.99,"Gostinitsa ""Sportivnyy Gorodok"""
514,Plettenberg Bay,ZA,64.89,overcast clouds,-34.05,23.37,Thanda Vista B&B
515,Santa Vitoria Do Palmar,BR,61.0,few clouds,-33.52,-53.37,Hotel Brasil
516,Vila Franca Do Campo,PT,59.0,few clouds,37.72,-25.43,Pestana Bahia Praia
517,Tiznit,MA,53.49,clear sky,29.7,-9.73,Hotel Café Restaurant Assaka
523,North Bend,US,53.01,overcast clouds,43.41,-124.22,Red Lion Hotel Coos Bay
525,Ancud,CL,48.2,broken clouds,-41.87,-73.83,HOTEL ANCUD DON LUCAS
537,Lexington Park,US,44.01,clear sky,38.26,-76.45,TownePlace Suites by Marriott Lexington Park Patuxent River Naval Air Station
540,Azuaga,ES,44.01,overcast clouds,38.26,-5.68,Casa Rural La Hoya
541,Camacha,PT,64.4,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
544,Dickinson,US,24.01,light snow,46.88,-102.79,Ramada by Wyndham Grand Dakota Hotel Dickinson
545,Los Llanos De Aridane,ES,69.8,broken clouds,28.66,-17.92,Valle Aridane
546,Saldanha,PT,40.68,overcast clouds,41.42,-6.55,
547,Balkanabat,TM,61.79,clear sky,39.51,54.36,Nebitchi Hotel
549,Coihaique,CL,50.0,overcast clouds,-45.58,-72.07,Diego De Almagro Coyhaique
550,Konstantinovka,UA,56.7,broken clouds,46.85,29.85,
551,Chifeng,CN,49.69,overcast clouds,42.27,118.96,Junyu Tiancheng Hotel
555,Turochak,RU,22.86,overcast clouds,52.26,87.12,Guest House on Beregovaya st.
556,Wagar,US,45.0,clear sky,31.44,-87.99,
560,Luchegorsk,RU,36.1,scattered clouds,46.44,134.3,Ulunga
561,San Antonio,CL,56.28,clear sky,-33.58,-71.61,Hotel Mellati
562,Knyaze-Volkonskoye,RU,35.6,clear sky,48.46,135.46,Obshchezhitiye
564,Poum,MK,48.2,light rain,41.28,20.71,Dolno Tateši
565,Yarmouth,CA,41.0,broken clouds,43.84,-66.12,Comfort Inn
